name,lat,lon,street,postcode,city,country,url,profile_url,tags,fidelity,note
,50.6402809,4.6667145,,,,BE,,,,medium,sources:trox(1)
FabLab B3,50.64486781691182,5.590545797216793,place des arts 1 liege belgique,4020,-,BE,https://b3.provincedeliege.be/exploratoiredespossibles/fablab,https://www.fablabs.io/labs/fablabb3,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata(1)
Cityfab 3,50.8342142,4.327495799999999,Rue des Veterinaires Veeartsen Straat 42,1070,Anderlecht,BE,http://microfactory.be/cityfab3/,https://www.fablabs.io/labs/cityfab3,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata(1);aka:Microfactory Fab Lab
FabLab+,51.2189646,4.408352799999989,Lange Klarenstraat 17,2000,Antwerpen,BE,http://Http://www.fablabplus.be,https://www.fablabs.io/labs/FabLabAntwerpen,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab+ (Antwerpen)
GRNDBrekers (JC Bouckenborgh),51.245092,4.453129,Bredabaan 559,2170,Antwerpen,BE,https://bouckenborgh.be/grnd-brekers/,https://fabzero.decreatievestem.be/open-labs,3d-printing;electronics;embroidery;laser;vinyl-cutting,high,sources:fabzero(1)
KdG FabLab Hoboken,51.17359781583271,4.370654327855618,Salesianenlaan,2660,Antwerpen,BE,https://fablabkdg.be/,https://www.fablabs.io/labs/kdgfablab,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata(1)
Eco FabLab,51.2261077,3.2257925,Binnenweg 4,8000,Brugge,BE,http://ecofablab.be,,,high,sources:trox(1)
Mind- and Makerspace,51.195128,3.216469,Spoorwegstraat 4,8200,Brugge,BE,https://mindandmakerspace.com,https://fabzero.decreatievestem.be/open-labs,3d-printing;cnc;electronics;embroidery;laser;media;textile;vinyl-cutting,high,sources:fabzero(1)
the It garage,50.842292,4.34721,Nieuwland 42-44,1000,Brussel,BE,http://www.the-it-garage.be,https://fabzero.decreatievestem.be/open-labs,3d-printing;electronics;laser,high,sources:fabzero(1)
FabLab ULB,50.8226474,4.3872472,"Avenue de la Couronne 227 Building G, 1st floor",1050,Brussels,BE,https://fablab.ulb.be/,https://www.fablabs.io/labs/fablabulb,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab XL Brussel | Fablab Brussels
fablab iMAL,50.8552067,4.342470899999999,30-34 Quai des Charbonnages Koolmijnenkaai,1080,Brussels,BE,http://www.imal.org/fablab,https://www.fablabs.io/labs/fablabimal,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab Imal Brussel
cityfab1,50.87093354775484,4.349889438622995,Rue Dieudonne Lefevre 37,1020,Bruxelles,BE,http://cityfab1.brussels/fr/,https://www.fablabs.io/labs/cityfab1,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata(1)
DronesLab,50.41086098519998,4.451532260851991,"avenue General Michel 1E, Be 23 Batiment 1 - Hangar 15",6000,Charleroi,BE,http://www.droneslab.be,https://www.fablabs.io/labs/droneslab,3d-printing,high,sources:fabnetdata(1)
Makerspace PXL-UHasselt,50.927927,5.384478,Agoralaan Gebouw H,3590,Diepenbeek,BE,https://makerspace.pxluhasselt.be/,https://fabzero.decreatievestem.be/open-labs,3d-printing;cnc;electronics;embroidery;laser;textile;vacuum-forming;vinyl-cutting;waterjet,high,sources:fabzero(1)
Ingegno Maker Space,51.0503217,3.65724,Antoon Catriestraat 6,9031,Drongen,BE,https://decreatievestem.be/,https://www.fablabs.io/labs/IngegnoMakerSpace,3d-printing;cnc;electronics;embroidery;laser;precision-milling;textile;vinyl-cutting;waterjet,high,sources:fabnetdata+fabzero+trox(3);aka:Ingegno Maker Space - De Creatieve STEM
Fablab Erpe-Mere,50.9245724,3.978428500000063,Kloosterstraat 31,9420,Erpe-Mere,BE,http://www.fablaberpemere.be,https://www.fablabs.io/labs/fablaberpemere,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab
cityfab 2,50.87296389999999,4.4156246,Avenue Jules Bordet 13,1140,Evere,BE,https://www.cityfab2.brussels/,https://www.fablabs.io/labs/cityfab2,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata(1)
FabLab Geel,51.1664954,4.9847772,"Vestiging Sint Jozef Geel, Technische Schoolstraat 52",2440,Geel,BE,http://www.fablabgeel.be,,,high,sources:trox(1)
FabLab Genk,50.9824954,5.480810099999985,Houtparklaan 1,3600,Genk,BE,http://www.fablabgenk.be,https://www.fablabs.io/labs/fablabgenk,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2)
FabLab Artevelde Hogeschool,51.0408827,3.7284211,Voetweg 66,9000,Gent,BE,https://www.arteveldehogeschool.be/fablab,,,high,sources:trox(1)
Nerdlab,51.06251,3.730327,Nieuwland 65,9000,Gent,BE,https://nerdlab.be/,https://fabzero.decreatievestem.be/open-labs,3d-printing;electronics;laser;textile;vinyl-cutting,high,sources:fabzero(1)
Astertechnics,50.7914476,3.8768032,Diebeke 21,9500,Geraardsbergen,BE,https://www.facebook.com/astertechnics/,https://www.fablabs.io/labs/astertechnics,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:ASTERTECHNICS | Crealab | Makersbuzz
Timelab,51.0534762,3.730968999999959,Kogelstraat 34,9000,Ghent,BE,http://www.timelab.org,https://www.fablabs.io/labs/timelab,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:Timelab Gent
OpenFab,50.8329032,4.3785979,"158, rue Gray",1050,Ixelles,BE,http://openfab.be,https://www.fablabs.io/labs/openfab,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2)
Fablab TaKeerbergen,51.0041607,4.634513200000001,Molenstraat 2,3140,Keerbergen,BE,http://www.takeerbergen.be,https://www.fablabs.io/labs/takeerbergen,3d-printing;cnc;laser;precision-milling,high,sources:fabnetdata(1)
BUDA::lab,50.83163889999999,3.264044188360571,Dam 2a,8500,Kortrijk,BE,http://www.budalab.be,https://www.fablabs.io/labs/budalab,3d-printing;cnc;laser;metal;vinyl-cutting;wood,high,sources:fabnetdata+fabzero+trox(3);aka:BUDA::lab Kortrijk | Buda:lab
SmartLAB,50.830011,3.264697,Broelkaai 1B,8500,Kortrijk,BE,https://www.quindo.be/community/open-medialab,https://fabzero.decreatievestem.be/open-labs,electronics;media;vinyl-cutting,high,sources:fabzero(1);aka:Smarlab
Techniekschuur,50.801462,4.15807,Jan Baptist Van der Lindenstraat 100,1750,Lennik,BE,https://techniekschuur.be/,https://fabzero.decreatievestem.be/open-labs,3d-printing;cnc;electronics;laser;welding,high,sources:fabzero(1)
Fablab-Leuven,50.861011,4.681655999999975,Celestijnenlaan 300 Katholieke Universiteit Leuven,3001,Leuven,BE,http://www.fablab-leuven.be,https://www.fablabs.io/labs/fablableuven,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab Leuven
HIGH TECH LAB,50.8868,4.705259,Stapelhuisstraat 13-15,3000,Leuven,BE,https://maakleerplekleuven.be/deelplekken/high-tech-lab/,https://fabzero.decreatievestem.be/open-labs,3d-printing;electronics;laser,high,sources:fabzero(1)
Relab - Fablab de Liege,50.643826,5.574176999999963,"Rue Lambert Lombard, 1 (place Saint-Etienne)",4000,Liege,BE,http://www.relab.be,https://www.fablabs.io/labs/relab,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:RElab Liege/Luik
Fablab Lier,51.1183462,4.5738888,Kannunik Davidlaan 15,2500,Lier,BE,https://fablablier.be/,,,high,sources:trox(1)
FabLab Thomas More,51.0250277,4.4876522,Zandpoortvest 16,2800,Mechelen,BE,http://fablab.thomasmore.be,,,high,sources:trox(1)
Level21 Crealab Mechelen,51.023974,4.475351,Hoogstraat 4,2800,Mechelen,BE,http://www.level21.be,https://www.fablabs.io/labs/level21crealabmechelen,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata(1)
Fablab'ke,50.8578588,4.3382706,Rue Mommaerts 4,1080,Molenbeek-Saint-Jean,BE,https://fablabke.be,https://www.fablabs.io/labs/fablabke,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata(1)
FabLab Mons,50.4460343,3.956023899999991,Rue du Joncquois 53,7000,Mons,BE,https://fablabmons.be,https://www.fablabs.io/labs/fablabmons,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2)
TRAKK,50.46375099999999,4.851157999999941,Avenue Reine Astrid 16,5000,Namur,BE,http://www.trakk.be,https://www.fablabs.io/labs/trakk,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2)
Fablab De Loft,51.1384358,2.7719065,Brugsevaart 48,8620,Nieuwpoort,BE,https://antopaso.be/,,,high,sources:trox(1)
MAKILAB,50.6643146,4.6233114,"Louvain-la-Neuve avenue Georges Lemaitre, 2",1348,Ottignies-Louvain-la-Neuve,BE,http://makilab.org,https://www.fablabs.io/labs/makilab,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:Makilab
FabLab Klein-Brabant,51.0755999,4.274544099999957,Forum 9 CC binder-Studio Lab,2870,Puurs,BE,http://www.fablabkleinbrabant.be,https://www.fablabs.io/labs/fablabkleinbrabant,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata(1)
